iter	SMAPE	MAE
0	52.83208839	56574.61037
1	50.47890879	54482.93803
2	48.60251917	52798.77249
3	46.63053508	50942.7585
4	44.91294962	49301.70782
5	43.36770787	47788.87107
6	41.91358627	46327.65097
7	40.71996329	45082.88232
8	39.58789448	43920.7336
9	38.67816538	42985.61815
10	37.80594465	42012.46299
11	36.98523143	41130.58326
12	36.09653515	40122.43329
13	35.44280493	39443.19829
14	34.79585891	38680.44256
15	34.19492571	38020.16006
16	33.68447841	37478.33454
17	33.1969308	36883.84702
18	32.70914919	36299.80675
19	32.27508447	35798.72716
20	31.85192747	35300.7829
21	31.500639	34867.97144
22	31.1758448	34466.99034
23	30.88686692	34093.19074
24	30.52897439	33689.71019
25	30.23761721	33360.92171
26	29.87912359	32955.151
27	29.59067363	32615.62113
28	29.32255265	32302.44648
29	29.09964685	32031.06474
30	28.91996037	31802.78962
31	28.75737096	31587.19087
32	28.52785658	31352.44063
33	28.37056878	31161.45883
34	28.21558258	30975.37563
35	28.09392473	30819.32011
36	27.91520214	30625.21421
37	27.7904238	30525.88421
38	27.69663795	30409.36217
39	27.60135003	30289.28632
40	27.47086119	30151.46487
41	27.40152804	30082.21651
42	27.33258622	30031.25432
43	27.19940296	29878.6232
44	27.12796627	29780.33815
45	27.0791028	29709.446
46	27.00300336	29620.98642
47	26.86927804	29497.28963
48	26.75910572	29431.64719
49	26.69574096	29342.6792
50	26.65715115	29319.08887
51	26.58907577	29265.3724
52	26.54050363	29231.63053
53	26.47622405	29158.41986
54	26.41645572	29114.5803
55	26.35527539	29078.98982
56	26.29890218	29049.30118
57	26.26063525	29018.7616
58	26.19279596	28980.91244
59	26.16715316	28963.23438
60	26.11169037	28930.60617
61	26.07573625	28901.49261
62	26.04490404	28865.1194
63	26.02169708	28824.06939
64	25.98845255	28800.93519
65	25.94674155	28778.56349
66	25.88678787	28741.47879
67	25.852915	28709.37771
68	25.8410306	28699.05819
69	25.80676743	28681.46467
70	25.76559826	28656.12223
71	25.75154636	28647.45527
72	25.7372237	28637.49215
73	25.7226232	28627.86359
74	25.70242249	28610.07308
75	25.6624246	28587.32982
76	25.64167516	28572.34194
77	25.61958666	28553.23297
78	25.59885576	28521.80493
79	25.56887432	28504.33515
80	25.5610375	28499.31681
81	25.54541047	28481.95357
82	25.47476304	28425.33961
83	25.42401768	28386.77355
84	25.38630961	28357.19167
85	25.36346963	28340.61661
86	25.31353026	28297.26514
87	25.25141602	28245.22403
88	25.2323911	28229.11736
89	25.18659032	28193.68321
90	25.13532217	28148.49602
91	25.12814503	28143.94557
92	25.09347631	28116.00658
93	25.06518296	28087.25352
94	25.01702871	28046.0668
95	25.00420053	28036.80277
96	24.98631895	28007.03113
97	24.97378199	27997.39056
98	24.96836451	27994.10019
99	24.95618528	27987.28774
100	24.94636913	27981.22351
101	24.92386279	27954.82522
102	24.90336273	27935.25694
103	24.89595504	27931.60748
