iter	Passed	Remaining
0	154	154322
1	295	147236
2	362	120352
3	427	106514
4	491	97728
5	551	91287
6	610	86638
7	670	83144
8	741	81670
9	805	79707
10	869	78158
11	933	76841
12	994	75499
13	1056	74395
14	1117	73362
15	1186	72959
16	1247	72139
17	1306	71299
18	1364	70471
19	1428	69986
20	1491	69529
21	1554	69100
22	1618	68762
23	1678	68252
24	1739	67833
25	1791	67115
26	1850	66700
27	1905	66156
28	1961	65660
29	2011	65047
30	2067	64626
31	2161	65377
32	2237	65566
33	2297	65264
34	2361	65119
35	2420	64815
36	2524	65709
37	2588	65526
38	2653	65385
39	2736	65684
40	2807	65679
41	2880	65698
42	2963	65960
43	3031	65855
44	3095	65685
45	3152	65381
46	3216	65211
47	3282	65107
48	3343	64892
49	3402	64649
50	3464	64460
51	3519	64171
52	3586	64074
53	3647	63894
54	3703	63639
55	3766	63489
56	3825	63293
57	3874	62928
58	3932	62716
59	3991	62528
60	4054	62412
61	4116	62275
62	4172	62060
63	4237	61978
64	4297	61817
65	4360	61705
66	4423	61595
67	4480	61403
68	4529	61119
69	4588	60963
70	4658	60960
71	4725	60908
72	4810	61085
73	4872	60968
74	4931	60821
75	4993	60708
76	5057	60621
77	5116	60485
78	5189	60502
79	5253	60413
80	5314	60299
81	5374	60170
82	5432	60020
83	5489	59864
84	5556	59816
85	5614	59674
86	5675	59556
87	5738	59469
88	5802	59398
89	5861	59264
90	5921	59151
91	5986	59080
92	6059	59100
93	6150	59285
94	6230	59350
95	6303	59361
96	6368	59287
97	6436	59239
98	6510	59253
99	6580	59220
100	6650	59196
101	6713	59102
102	6956	60581
103	7105	61216
104	7199	61365
105	7345	61949
106	7406	61814
107	7465	61655
108	7522	61490
109	7582	61347
110	7647	61245
111	7706	61103
112	7777	61052
113	7831	60869
114	7891	60730
115	7943	60534
116	8002	60392
117	8055	60213
118	8108	60029
119	8160	59843
120	8213	59669
121	8274	59547
122	8333	59416
123	8391	59278
124	8450	59156
125	8534	59201
126	8591	59058
127	8651	58939
128	8709	58806
129	8771	58700
130	8826	58551
131	8881	58404
132	8935	58247
133	8992	58112
134	9042	57938
135	9102	57830
136	9160	57706
137	9219	57589
138	9270	57420
139	9334	57342
140	9393	57226
141	9472	57234
142	9529	57112
143	9590	57012
144	9654	56929
145	9735	56944
146	9802	56884
147	9857	56744
148	9909	56595
149	9960	56442
150	10023	56354
151	10079	56231
152	10138	56126
153	10194	56003
154	10248	55871
155	10314	55805
156	10377	55719
157	10446	55671
158	10501	55545
159	10555	55415
160	10611	55299
161	10668	55184
162	10728	55090
163	10802	55064
164	10860	54963
165	10921	54870
166	10980	54773
167	11036	54655
168	11089	54527
169	11137	54378
170	11197	54286
171	11247	54146
172	11298	54010
173	11348	53872
174	11407	53778
175	11454	53626
176	11511	53524
177	11573	53446
178	11625	53322
179	11681	53214
180	11739	53118
181	11784	52967
182	11832	52825
183	11883	52700
184	11938	52594
185	11991	52480
186	12043	52358
187	12094	52236
188	12143	52108
189	12199	52006
190	12256	51912
191	12314	51822
192	12370	51724
193	12418	51596
194	12470	51481
195	12521	51364
196	12578	51270
197	12622	51126
198	12670	51000
199	12717	50869
200	12779	50800
201	12827	50673
202	12878	50563
203	12927	50442
204	12979	50336
205	13029	50219
206	13077	50098
207	13130	49998
208	13196	49944
209	13249	49844
210	13309	49768
211	13368	49689
212	13419	49581
213	13471	49480
214	13521	49368
215	13579	49287
216	13637	49208
217	13693	49119
218	13762	49078
219	13818	48991
220	13871	48895
221	13930	48819
222	13979	48710
223	14026	48592
224	14092	48539
225	14143	48437
226	14201	48360
227	14256	48272
228	14320	48213
229	14375	48125
230	14432	48046
231	14490	47970
232	14553	47908
233	14620	47860
234	14675	47772
235	14730	47688
236	14787	47608
237	14840	47515
238	14894	47425
239	14954	47355
240	15016	47291
241	15069	47201
242	15131	47138
243	15189	47063
244	15253	47005
245	15305	46913
246	15358	46822
247	15410	46728
248	15468	46655
249	15525	46576
250	15581	46496
251	15641	46428
252	15700	46356
253	15757	46281
254	15819	46216
255	15873	46131
256	15931	46060
257	15985	45974
258	16033	45872
259	16085	45782
260	16132	45679
261	16187	45596
262	16247	45530
263	16298	45437
264	16360	45377
265	16426	45327
266	16483	45252
267	16536	45166
268	16594	45095
269	16650	45018
270	16706	44940
271	16761	44860
272	16819	44789
273	16869	44698
274	16922	44612
275	16965	44504
276	17016	44414
277	17064	44319
278	17125	44256
279	17179	44176
280	17233	44095
281	17277	43991
282	17335	43921
283	17383	43826
284	17439	43752
285	17487	43656
286	17538	43572
287	17585	43474
288	17643	43406
289	17703	43342
290	17763	43278
291	17815	43196
292	17876	43134
293	17932	43063
294	17984	42980
295	18031	42885
296	18079	42794
297	18136	42723
298	18190	42648
299	18245	42572
300	18294	42483
301	18343	42397
302	18401	42328
303	18447	42234
304	18507	42173
305	18574	42127
306	18628	42051
307	18678	41966
308	18728	41880
309	18776	41793
310	18833	41723
311	18874	41621
312	18931	41552
313	18983	41474
314	19057	41443
315	19121	41389
316	19168	41299
317	19209	41197
318	19253	41102
319	19294	41000
320	19356	40943
321	19406	40862
322	19466	40800
323	19520	40727
324	19562	40629
325	19618	40560
326	19670	40483
327	19732	40428
328	19784	40350
329	19831	40264
330	19873	40166
331	19918	40076
332	19967	39994
333	20019	39918
334	20063	39827
335	20124	39769
336	20179	39699
337	20225	39613
338	20283	39550
339	20354	39511
340	20423	39470
341	20466	39377
342	20511	39289
343	20563	39213
344	20615	39139
